Name,Year,ProgramName,Discipline,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,,,,,,,
420a6bd61379c0a5ee5ab94919aea3d6,1731,Ph.D,Comp Science & Engg, ES 608 , CS 799 , IN 791 ,,,,,,,,,,,,,
cdb75e23885772ea65752aefce6d7b10,1511,B.Tech,Civil Engineering, CE 605 , CH 301 , HS 305 , MS 406 , CE 629 , CE 499 , BE 402 ,,,,,,,,,
cdc07415c19f0aa64c9016f09dba95a4,1611,B.Tech,Materials Science & Engineering, HS 423 , CH 517 , MSE 352 , MSE 399 , MSE 307 , MSE 302(N) , MS 304 ,,,,,,,,,
3ff7b2cb91cc1c47501115ae04592d13,1811,B.Tech,Civil Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
b757cf2376d9bc3618a4857a695cb440,1751,M.Sc,Physics, PH 607 , PH 591 , PH 599(A) , PH 599 (B) , PH 599 (C) , FP 602 ,,,,,,,,,,
d6381015965c12066d54a19f69797f35,1411,B.Tech,Civil Engineering, CE 307 , CH 517 , CH 521 , BE 402 ,,,,,,,,,,,,
662baca31431f8852b7cf6cbc07093b0,1835,Ph.D,Electrical Engineering, MA 602 , EE 651 , IN 791 , FP 602 ,,,,,,,,,,,,
37594b49e3e5365dbd06dbd4470160b7,1851,M.Sc,Cognitive Sciences, CG 501 , CG 506 , CG 601 , IN 792, CG 605 , FP 602 ,,,,,,,,,,
12c16ca0de4b0932e38f4a469bb42d06,1811,B.Tech,Comp Science & Engg, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
67740df5ab6dbec3d70c0b2d0972ac98,1611,B.Tech,Civil Engineering, CE 304 , CE 305 , CE 306 , CE 307 , CE 403 , CE 309 , CE 631 ,,,,,,,,,
4defea4e03c1600ea001131c85298ad7,1821,M.Tech,Materials Science & Engineering, MSE 628  , MSE 699 , ES 632 , CH 632 ,,,,,,,,,,,,
5ac8f29686e5cfc00a8d563fd26a1905,1751,M.Sc,Chemistry, CH 517 , CH 599 (B) , CH 599 (C) , CH 632 , FP 602 ,,,,,,,,,,,
6436af09603e3b572fda1c8d5bce21e6,1811,B.Tech,Comp Science & Engg, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
3a68b2aa16667de57bf3242affb1ee6a,1811,B.Tech,Materials Science & Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
a595e9a3a973d1b29b9ea18e98d9b2e3,1751,M.Sc,Physics, PH 599(A) , PH 599 (B) , PH 599 (C) , ES 643 , FP 602 , PH 614 ,,,,,,,,,,
5bca19a7a1fd655cfc9a82136dc80815,1421,Ph.D,Materials Science & Engineering, IN 791, MSE 799 ,,,,,,,,,,,,,,
d6fd4c6db5e6395f58237619d95bae97,1511,B.Tech,Civil Engineering, CE 305 , HS 103 , HS 151 , HS 421 , HS 422,,,,,,,,,,,
25929dea7b0fde6c5fe5ab3df64747ce,1611,B.Tech,Civil Engineering, CE 304 , CE 305 , CE 306 , CE 307 , CE 402 , CE 403 , CE 309 , CH 508 , CE 631 ,,,,,,,
57786b3108939af515e0cccc28edf52d,1721,M.Tech,Chemical Engineering, CL 699 ,,,,,,,,,,,,,,,
234fdb02331423afa43ba9d55a9ea6c0,1511,B.Tech,Mechanical Engineering, CH 301 , MS 406 , CH 517 , MS 204 , MA 623 , BE 402 ,,,,,,,,,,
5750022c9bddd90182859b0b875d7f61,1811,B.Tech,Materials Science & Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
9c87efe26c80ce59759310fa1ab3b5bd,1611,B.Tech,Comp Science & Engg, CG 501 ,,,,,,,,,,,,,,,
ffbfadc61143bdb75f22b84d104be2b9,1831,Ph.D,Chemical Engineering, CL 602 , CL 604 , HS 223 , IN 791 , FP 602 ,,,,,,,,,,,
b4b85341333e86cca171f22d0c4693c1,1511,B.Tech,Civil Engineering, CH 301 , HS 111 , IN 302 , MS 406 , BE 402 ,,,,,,,,,,,
752323499b9e79e15ab56c0d7449138e,1511,B.Tech,Mechanical Engineering, CH 301 , HS 103 , MS 406 , MS 204 , BE 402 ,,,,,,,,,,,
69f4f80c046be7f2f13dd41cfc8d055f,1831,Ph.D,Humanities and Social Science, HS 631 , HS 644 , FP 602 ,,,,,,,,,,,,,
751aaebb023554cd4f687564a3291070,1821,M.Tech,Mechanical Engineering, ES 622 , MA 602 , ME 626 , ME 699 ,,,,,,,,,,,,
cbc573f09f7677e2616d9c7b2448c5fe,1511,B.Tech,Electrical Engineering, CH 301 , ES 615 , CH 517 , MS 204 , HS 514 , BE 402 , HS 421 , ES 654 ,,,,,,,,
0bd02ebb4c760cde3ecf8f702b82aa01,1721,M.Tech,Materials Science & Engineering, MSE 699 ,,,,,,,,,,,,,,,
a5f1a16bf1d60de877e18c38d3842e16,1431,Ph.D,Electrical Engineering, EE 799 ,,,,,,,,,,,,,,,
7dbab96e3099cb3d2fdb444b9bafff74,1711,B.Tech,Civil Engineering, CE 202 , ES 202 , ES 212 , ES 221 , HS 201 , MA 202 ,,,,,,,,,,
a0c4dc9d39198937e51fb15fca02975a,1511,B.Tech,Electrical Engineering, HS 648 , CH 301 , HS 305 , CH 517 , ES 641 , BE 402 ,,,,,,,,,,
67f1ce5ef1d9c0a93d13993b31a5ac0f,1721,M.Tech,Civil Engineering, CE 699 ,,,,,,,,,,,,,,,
f0654510bb4d82c170c49cbd18e2b2ee,1825,M.Tech,Civil Engineering, CE 613 , CE 622 , ES 622 , MA 602 ,,,,,,,,,,,,
849b8d22bf9ac76c13cec5194997e55e,1431,Ph.D,Chemical Engineering, CL 799 ,,,,,,,,,,,,,,,
2220eb4055d3290dbdacdc43832b1717,1811,B.Tech,Mechanical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
36229b6fe1581a0088ae86fd505402fd,1835,Ph.D,Mechanical Engineering, ES 616 , Ma 624 , ES 648 , IN 791 ,,,,,,,,,,,,
bfe166f5f0a7cf403c35c71ba8ec2ea0,1611,B.Tech,Materials Science & Engineering, HS 103 , CH 517 , MSE 352 , MSE 399 , MSE 307 , MSE 302(N) ,,,,,,,,,,
d8b8d51e6ad1b7fc2b6ea7d4e3c5581d,1511,B.Tech,Mechanical Engineering, HS 111 , HS 112 , HS 642 ,,,,,,,,,,,,,
81592bfd9c3a9791bb327a34f1b46966,1711,B.Tech,Civil Engineering, ES 221 , CE 202 , ES 202 , ES 212 , HS 201 , MA 202 ,,,,,,,,,,
0b4842e57f6eba6e891f0cbc9a8be9d1,1411,B.Tech,Civil Engineering, CE 402 , ES 212 , HS 151 , BE 402 ,,,,,,,,,,,,
fdb90d26c6ae0724874353eadaaaf456,1711,B.Tech,Electrical Engineering, EE 331 , ES 202 , HS 201 , MA 202 , ES 214 ,ES 216,,,,,,,,,,
c2c95d9a14094fdfb67805a7cb07d55f,1721,M.Tech,Mechanical Engineering, ME 699 ,,,,,,,,,,,,,,,
d3c3a7216e30612777006bae11b1e2ad,1611,B.Tech,Civil Engineering, CE 304 , CE 305 , CE 306 , CE 307 , CE 402 , HS 112 , CE 403 , CE 309 , CE 631 ,,,,,,,
e5653e652eb60fdccf4f552be47cfb59,1721,M.Tech,Comp Science & Engg, ES 615 , MS 204 , CS 699 ,,,,,,,,,,,,,
0a1f423d001eec0c016958419261d2ca,1231,Ph.D,Mechanical Engineering, IN 700 ,,,,,,,,,,,,,,,
393ceb290a5f68ed08263434342690de,1831,Ph.D,Humanities and Social Science, IN 792 , HS 644 , MA 632 , IN 791 ,,,,,,,,,,,,
da60678adf60364d8f3f013983dc2fe2,1711,B.Tech,Mechanical Engineering, ES 221 , ES 202 , ES 212 , HS 201 , MA 102 , MA 202 ,,,,,,,,,,
16fbb033f0029302061afb427b3819cb,1711,B.Tech,Materials Science & Engineering, ES 221 , ES 212 , HS 201 , MA 202 , MSE 309 , MSE 201 (N) ,,,,,,,,,,
9dc5df0fc46a299fc2a7a8decc2596c6,1751,M.Sc,Physics, PH 599(A) , PH 599 (B) , PH 599 (C) , ES 643 , FP 602 , PH 614 ,,,,,,,,,,
50ba5d54792ba40625b0143d3ac15167,1811,B.Tech,Comp Science & Engg, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
0a9c00b8601378714d4ae82aabb5805f,1611,B.Tech,Comp Science & Engg, HS 635 , MS 204 ,,,,,,,,,,,,,,
decc6cf9d472289cf5136d24ae1283d4,1511,B.Tech,Electrical Engineering, ES 615 , ES 215 , ES 214 ,,,,,,,,,,,,,
60e126bb3fbc577e2ec9b831c51b6f5b,1711,B.Tech,Mechanical Engineering, ES 221 , ES 202 , ES 212 , HS 201 , MA 202 , MS 406 ,,,,,,,,,,
4bb6d49e7484bb25fcc1d05580a17a95,1711,B.Tech,Chemical Engineering, ES 221 , CL 251 , ES 202 , ES 212 , HS 201 , MA 202 , MS 204 ,,,,,,,,,
686be22ec48bf25b868133ec7fcffe9b,1711,B.Tech,Civil Engineering, ES 221 , CE 202 , ES 202 , ES 212 , HS 201 , MA 202 ,,,,,,,,,,
9c980323c4a0ad3e327e26e43275b593,1711,B.Tech,Civil Engineering, ES 221 , CE 202 , ES 202 , ES 212 , HS 201 , MA 202 ,,,,,,,,,,
c628c8424d18b5988632340189589472,1611,B.Tech,Materials Science & Engineering, HS 508 , CH 517 , MSE 352 , MSE 499 , MSE 307 , MSE 302(N) ,,,,,,,,,,
5fdb36074d50c4ca4c5b12b0e3f8de00,1825,M.Tech,Materials Science & Engineering, MSE 626 , MSE 628  , MSE 699 , CH 517 , CH 632 ,,,,,,,,,,,
cea98cd637c70551b2039b0c7eda4d40,1821,M.Tech,Electrical Engineering, MA 602 , EE 699 , ES 637 , HS 421 , ES 654 ,,,,,,,,,,,
f3cc010375ea7c553b5cf786d58ae2eb,1751,M.Sc,Mathematics, MA 602 , MA 605 , MA 599 , FP 602 ,,,,,,,,,,,,
56371eb1b047af241b1bf1e181c7251b,1811,B.Tech,Comp Science & Engg, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
0d643e5b68d37d44c84292aad5323367,1611,B.Tech,Mechanical Engineering, ES 212 , ME 322 , ME 332 , ME 352 , ME 391 , CH 517 ,,,,,,,,,,
e57204b02e7b228cd3ad3946faf57d86,1811,B.Tech,Electrical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
b3aa4f68a5e8d5535cbf44a3b0e8da3b,1511,B.Tech,Electrical Engineering, EE 331 , EE 341 , HS 406 , HS 642 ,,,,,,,,,,,,
9298a84f36c08feb71a5d56d7fc62bf6,1831,Ph.D,Chemical Engineering, CL 602 , CL 604 , ES 634 , IN 791 , FP 602 ,,,,,,,,,,,
8bc93d36a4a80981d3608fb08aee8924,1521,Ph.D,Materials Science & Engineering, MSE 799 ,,,,,,,,,,,,,,,
00b0945fc52f3dcf65420982db5d4980,1511,B.Tech,Mechanical Engineering, HS 111 , HS 635 , CH 517 ,,,,,,,,,,,,,
