Name,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9
13f13fb5766a5474d25cd6c688d867bd, EE 699 ,,,,,,,,
bfecce22a3a4578ea0376b37690af4fe, EH 799 , IN 791 ,,,,,,,
5b08b6db9dc79971334d2e9feb6eb59c, HS 111 , HS 508 , HS 104(R) ,,,,,,
091a37477d16c420a24f58cdddfb8e85, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 ,,,,
707bc19fa7c24702c4dd752bb1801e18, CH 799 ,,,,,,,,
b79e8feaa58f0e22d9740971dd4d9c23, CG 799 ,,,,,,,,
15bd02b7039a315d2bb888a4ea659463, PH 504 , PH 505 , PH 506 , PH 507 ,,,,,
b7f60564163c6450e3fe53a63756b317, ES 212 , ES 221 , MS 204 , MSE 201 (N) , MSE 302(N) ,,,,
46a58771859256629f32ff1cb444d772, HS 201 , HS 644 , HS 599(A) , HS 513 , FP 602 , HS 421 ,,,
8cc9657a9e354062f8c60aa6ae904577, HS 112 , MA 602 , ES 608 , EE 651 , ES 215 ,,,,
f1cbb7aa0f28ed0dd90394ea6d590b4f, IN 791, ME 798 , ME 799 , ME 640 , FP 602 ,,,,
81d9298e39655f126441c9627e28f881, HS 112 , HS 151 , HS 201 , ME 322 , ME 332 , HS 104(R) ,,,
7a5fc295321c4fce109880c7cae07b6c, EE 799 ,,,,,,,,
0af04d9a31e0d38c24dc9f34294e2870, ES 332 , ME 322 , ME 332 , ME 352 , ME 391 , MS 204 , HS 515 ,,
49eba35f281b5e22cdd7f321b4872a38, HS 406 , CG 599B , CG 599C , CG 599A , CG 599D , FP 602 ,,,
df65978738332bc4521dfb1390148274, CE 699 ,,,,,,,,
564da5abb559a641f7160c78bf8ecf43, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
b91bda603fc6ee2f8e240171e6e323d9, MSE 699 , ES 608 , CH 517 , MS 304 ,,,,,
488debe0ebce2d00a5e4f9ce860aa37a, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
e3084a4ce195cd5fd95521e35ff35b08, ME 799 ,,,,,,,,
