Year,ProgramName,Discipline
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1411,B.Tech-M.Sc Dual Degree,Mathematics
1411,B.Tech-M.Tech Dual Degree,Civil Engineering
1411,B.Tech-M.Tech Dual Degree,Comp Science & Engg
1411,B.Tech-M.Tech Dual Degree,Comp Science & Engg
1611,Dual Major in B.Tech,Chemical Engineering
1652,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1752,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1852,M.A,Humanities and Social Science
1651,M.Sc,Mathematics
1751,M.Sc,Chemistry
1751,M.Sc,Chemistry
1751,M.Sc,Chemistry
1751,M.Sc,Chemistry
1751,M.Sc,Chemistry
